,particle_id,distance,w,par_N,par_delta1,par_delta2,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
262,24264,200.4211365336239,0.0003572766322409412,4.35457648233858,0.2511284407553423,1.0915425599506061,7.425947447131129,-7.96070369749332,-4.571874874222928,0.4931398628049661,0.919277312812095,200.4211365336239
263,24265,174.15167764491204,0.00039708545601575547,4.4589197262624385,0.11386158916167348,1.243723703275574,9.9706852963015,-4.647339984237927,-7.6770595879547905,0.4713636602002208,0.8078808249229037,174.15167764491204
264,24266,170.6041051392432,0.00028298229656642705,4.929239352223479,0.003804672498524425,1.2190908398726723,9.656039748165174,-5.845032656901131,-6.851978616710914,0.4003459891852216,0.8264000771503887,170.6041051392432
265,24267,196.7410583935657,0.000312603966539581,6.561352545679474,0.2070763550884736,1.1030680235903274,5.3289403086551586,-7.165352348806505,-7.781951265269479,0.3658990349721206,0.907561286701097,196.7410583935657
266,24268,172.84357863431828,0.0006970355511018011,5.485178703029513,0.017306553080242926,1.144993235247616,7.841447315116256,-8.751919307110859,-4.63291536163559,0.3537664232489248,0.880371471022651,172.84357863431828
267,24269,191.16223705091411,0.0005701468024391039,4.342959902103677,0.4079903469812112,1.115790102052101,4.861686182889969,-6.598999570468599,-5.90555516308081,0.3725279991325199,0.900713084825329,191.16223705091411
268,24270,197.05665873813064,0.00033431114814546443,3.279872730330384,0.18097682590190872,1.091614905912956,7.222967854014988,-6.886389004749048,-4.358599807960313,0.29725736221552723,0.9176684319435083,197.05665873813064
269,24271,149.08109528946994,0.0004533438205972069,4.913407656857857,0.08496601535118395,1.0546184436081523,5.663348286379858,-4.7734416538653885,-8.472712707104888,0.35109888638699294,0.9500687501231315,149.08109528946994
270,24272,168.65886627869895,0.00027081032408777573,4.257032446482604,0.0378861561222515,1.1662669833435129,9.250185189724744,-6.754650997224182,-4.78363493324166,0.0686240232556615,0.8541090942531511,168.65886627869895
271,24273,179.9608233117205,0.0002844842021274831,3.8893041474985046,0.12685213554872818,1.3221961798932624,12.272784284485335,-6.298579034377538,-5.407094947674572,0.39016176835338673,0.7511461305060384,179.9608233117205
