,particle_id,distance,w,par_N,par_delta1,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
714,22716,780.5137726066467,0.00037216801512802137,3.931098337854376,0.11057832255055783,3.792210205028815,-8.052252630608834,-5.180277011570647,0.20841317302273815,0.985524622604449,780.5137726066467
715,22717,752.3090318399237,0.0007161303822056287,7.239698990936969,0.03535084935597452,7.2928950472289245,-6.638624887329301,-8.174036167115984,0.01076666554806515,0.9615088078033581,752.3090318399237
716,22718,774.5128978050597,0.0004896678134407898,3.7015917170467945,0.15591016591648602,5.906625937795646,-7.471108222522679,-4.658999142628908,0.07168082647413969,0.9723110009003748,774.5128978050597
717,22719,785.7815597603105,0.00044590836022192213,3.716016440263336,0.07869366299105215,7.921031950935962,-5.7144786683774225,-6.2781230323524,0.05452186059079631,0.9584948865286702,785.7815597603105
718,22720,740.013794581739,0.0003552921160158997,4.451602834228528,0.198150373225714,6.132163875768343,-6.701957530026993,-6.649835750490137,0.2200494243249084,0.972352162952006,740.013794581739
719,22721,828.3568973347152,0.00029632508920538733,3.4997191598685964,0.15667827355807978,5.181934619094605,-4.482698808682809,-7.963036164730059,0.257612031644325,0.9784708363547239,828.3568973347152
720,22722,728.2839172317887,0.0008139862700379005,3.5376211290249775,0.06500534363416043,2.4537552709819273,-7.127665492508725,-6.443191978115089,0.2317746313527273,0.9849632049369271,728.2839172317887
721,22723,620.9714602554565,0.0005650905352249044,4.300403455102371,0.17775744888565498,3.3602455333440577,-8.64723100337089,-4.702430460990018,0.16157942767960193,0.9925176452379968,620.9714602554565
722,22724,842.2527365628544,0.0018302674581087324,7.052485249100459,0.09183925656275724,5.09957067821241,-6.525504107856985,-8.820904643038991,0.04201386088265696,0.9823054918677276,842.2527365628544
723,22725,840.5351056556477,0.0012637557636580373,4.33549318378564,0.1553827925374559,7.2539336769605285,-6.023352730216469,-7.514762202558092,0.4097210258404992,0.9575845175606653,840.5351056556477
724,22726,828.9196351801661,0.0003469850537101127,4.6921617485789895,0.06981195551044647,5.812862606461593,-8.26505145741889,-5.20721184421433,0.21419921728798313,0.9783446093005588,828.9196351801661
725,22727,610.9863579108207,0.0005298350603381897,6.512051120419939,0.1127471150013667,3.639467640029089,-8.52975000080674,-6.901971144061854,0.11027347006075644,0.9861556251140268,610.9863579108207
726,22728,810.1798331526362,0.0007553766328489735,3.2943905647559837,0.14025902384566324,9.328696928285027,-6.947347466221965,-4.106842087712832,0.0442868854104924,0.968747882022398,810.1798331526362
727,22729,758.9983177287063,0.0006644982196839047,4.395354021802227,0.1035519042281502,9.608888083202952,-4.9582618421040445,-6.901166105637438,0.025689674265965183,0.9533705042799699,758.9983177287063
728,22730,610.4716158198697,0.0009485922213451658,4.944660181429364,0.02405836783916905,7.280688795576511,-6.8851370534145575,-5.8671326077416595,0.04318922544885413,0.9799495394023959,610.4716158198697
729,22731,710.5682209839146,0.0005127674747713525,4.709098214681774,0.11594783350203877,6.342097353205645,-5.854762747639613,-7.086755191109096,0.055510487005556296,0.9698198354939784,710.5682209839146
730,22732,760.2620208572491,0.001782540266905063,3.1162001420424654,0.009203277396431675,11.289771221798079,-4.093097171323811,-6.331030844751743,0.02727910835726095,0.9519765559869772,760.2620208572491
731,22733,810.825048914045,0.0007621735064692434,5.31270779872281,0.046405665872733676,7.377269794677369,-7.213936218906613,-6.445480488668209,0.129339741111287,0.9761177160399714,810.825048914045
